epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,390.937,1.69638,1.85813,1.73331,1.43538,0.39909,0.48594,0.33536,0.09798,0.35127,0.41365,0.24712,0.05388,2.39245,1.36223,1.86598,2.2519,0.000666308,0.000666308,0.000666308
2,703.566,1.65778,1.715,1.51756,1.47533,0.56367,0.59839,0.52527,0.19661,0.44884,0.50602,0.3723,0.08967,2.09137,1.33351,1.69305,2.07551,0.00128899,0.00128899,0.00128899
3,1046.88,1.51221,1.67332,1.38961,1.38174,0.41918,0.36948,0.32858,0.12197,0.48341,0.46586,0.38703,0.12004,2.27342,1.34462,1.93442,2.06854,0.00186767,0.00186767,0.00186767
4,1414.76,1.45876,1.65177,1.299,1.34807,0.6928,0.51406,0.56464,0.27407,0.6541,0.48594,0.46509,0.11562,1.8556,1.37636,1.63868,1.93176,0.001802,0.001802,0.001802
5,1699.03,1.33545,1.58959,1.23823,1.28909,0.68565,0.65462,0.64562,0.36635,0.66943,0.60241,0.5646,0.16763,1.60824,1.25564,1.43661,1.69749,0.001736,0.001736,0.001736
6,1988.1,1.29265,1.58057,1.20214,1.27563,0.76783,0.62426,0.65694,0.33477,0.69078,0.55823,0.49968,0.1393,1.68766,1.24744,1.44794,1.82552,0.00167,0.00167,0.00167
7,2154.09,1.26182,1.52329,1.16733,1.26262,0.74554,0.67068,0.66665,0.40026,0.73162,0.635,0.58251,0.18875,1.50932,1.21884,1.33365,1.65634,0.001604,0.001604,0.001604
8,2318.6,1.18685,1.50965,1.08146,1.21975,0.7987,0.68273,0.69645,0.37864,0.72089,0.62249,0.55066,0.17288,1.56128,1.19886,1.27535,1.67944,0.001538,0.001538,0.001538
9,2463.26,1.17462,1.52674,1.0774,1.21477,0.67448,0.6574,0.6558,0.36411,0.68078,0.57028,0.5696,0.1945,1.49373,1.19007,1.43439,1.59272,0.001472,0.001472,0.001472
10,2606.8,1.15867,1.51781,1.05312,1.19775,0.70631,0.67608,0.67593,0.40295,0.66898,0.64121,0.59709,0.18815,1.49085,1.17619,1.28286,1.63778,0.001406,0.001406,0.001406
11,2749.17,1.13942,1.49756,1.02674,1.19567,0.81688,0.64495,0.67038,0.41316,0.78279,0.60789,0.60329,0.19127,1.40194,1.19439,1.24107,1.58958,0.00134,0.00134,0.00134
12,3217.16,1.11002,1.47045,1.00912,1.1843,0.81728,0.71853,0.72433,0.44446,0.79044,0.66667,0.63231,0.2098,1.39536,1.16962,1.2019,1.56237,0.001274,0.001274,0.001274
13,3583.72,1.0896,1.4488,0.98443,1.17216,0.77377,0.71426,0.69834,0.44943,0.7323,0.65462,0.59614,0.19396,1.35462,1.16401,1.14437,1.54582,0.001208,0.001208,0.001208
